DATE,PERMNO,PRC,VOL,CFACPR,CFACSHR,SHROUT,RET
1990-01-31,81510.0,4.25,2821.0,1.25,1.25,6583.0,-0.27659574151039124
1990-01-31,11823.0,10.25,6087.0,2.8142,2.8142,5996.0,-0.17171716690063477
1990-01-31,86960.0,5.0,25.0,1.0,1.0,1075.0,0.1764705926179886
1990-01-31,64215.0,0.3125,9582.0,0.1,0.1,45620.0,-0.375
1990-01-31,10500.0,17.0,129.0,1.0,1.0,2028.0,0.0
1990-01-31,64258.0,1.5,5164.0,0.2,0.2,14019.0,-0.03999999910593033
1990-01-31,11211.0,27.75,2346.0,4.0,4.0,3271.0,-0.10483870655298233
1990-01-31,81382.0,15.25,1452.0,1.0,1.0,4434.0,-0.07575757801532745
1990-01-31,10840.0,0.203125,8890.0,1.0,1.0,74989.0,0.0
1990-01-31,60353.0,14.0,890.0,1.0,1.0,6580.0,0.027522936463356018
1990-01-31,63693.0,0.375,3336.0,1.0,1.0,8530.0,0.20000000298023224
1990-01-31,10928.0,10.25,5146.0,2.441406,2.441406,6449.0,-0.1881188154220581
1990-01-31,32134.0,2.0625,93.0,1.0,1.0,980.0,0.0
1990-01-31,22403.0,0.140625,1540.0,1.0,1.0,3581.0,0.2857142984867096
1990-01-31,63351.0,20.875,6130.0,1.0,1.0,8120.0,-0.15656565129756927
1990-01-31,75755.0,0.671875,1476.0,0.0625,0.0625,7538.0,-0.20370370149612427
1990-01-31,45110.0,31.25,116.0,7.836802,7.836802,1215.0,-0.04580152779817581
1990-01-31,88701.0,3.375,8247.0,1.0,1.0,18258.0,-0.20588235557079315
1990-01-31,46068.0,9.125,73.0,3.54375,3.54375,870.0,-0.02239999920129776
1990-01-31,40272.0,60.125,17475.0,3.0,3.0,37970.0,-0.11254612356424332
1990-01-31,10057.0,10.25,3873.0,1.0,1.0,6291.0,-0.04827586188912392
1990-01-31,40388.0,15.0,1248.0,1.0,1.0,3323.0,-0.016393441706895828
1990-01-31,64346.0,28.0,31534.0,2.0,2.0,35573.0,-0.11811023950576782
1990-01-31,50789.0,31.75,1338.0,3.375,3.375,6943.0,-0.10563380271196365
1990-01-31,38691.0,0.3125,9658.0,1.0,1.0,19729.0,-0.09090909361839294
1990-01-31,75751.0,2.5625,4919.0,1.0,1.0,6371.0,-0.02380952425301075
1990-01-31,31983.0,0.8125,1691.0,1.0,1.0,3787.0,-0.13333334028720856
1990-01-31,49999.0,0.75,111.0,1.0,1.0,2380.0,0.0
1990-01-31,75577.0,7.375,16593.0,16.0,16.0,18945.0,0.072727270424366
1990-01-31,29699.0,1.0625,117.0,1.0,1.0,1339.0,0.0
1990-01-31,75752.0,1.625,828.0,1.0,1.0,1928.0,-0.21212121844291687
1990-01-31,60346.0,4.75,1062.0,1.5,1.5,3564.0,-0.11627907305955887
1990-01-31,11673.0,0.75,11367.0,1.0,1.0,36902.0,-0.17241379618644714
1990-01-31,11198.0,9.5,898.0,2.2,2.2,3106.0,-0.22448979318141937
1990-01-31,71095.0,2.875,64.0,1.0,1.0,2501.0,0.04545454680919647
1990-01-31,32804.0,2.0625,169.0,1.0,1.0,4881.0,-0.0833333358168602
1990-01-31,75801.0,7.125,5116.0,4.0,1.0,6641.0,-0.1492537260055542
1990-01-31,75753.0,2.375,590.0,1.0,1.0,1849.0,-0.17391304671764374
1990-01-31,79856.0,2.0625,14250.0,1.0,1.0,23152.0,-0.0833333358168602
1990-01-31,83804.0,7.25,562.0,1.0,1.0,2145.0,0.11538461595773697
1990-01-31,75808.0,20.125,3129.0,2.0,2.0,56440.0,-0.11538461595773697
1990-01-31,11674.0,24.75,61160.0,1.187791,1.0,146819.0,-0.02463054098188877
1990-01-31,11822.0,12.25,6218.0,1.0,1.0,7288.0,-0.07547169923782349
1990-01-31,16505.0,46.0,1184.0,2.1736,2.1736,5765.0,-0.018666666001081467
1990-01-31,27924.0,2.25,156535.0,1.0,1.0,72881.0,-0.5263158082962036
1990-01-31,10278.0,34.75,17773.0,4.0,4.0,40597.0,-0.010676156729459763
1990-01-31,57832.0,21.875,289.0,1.0,1.0,1954.0,0.004879999905824661
1990-01-31,39116.0,2.25,793.0,1.0,1.0,5150.0,0.0
1990-01-31,49752.0,5.0,5071.0,1.0,1.0,13988.0,-0.09090909361839294
1990-01-31,38471.0,1.25,124.0,1.0,1.0,1506.0,0.1111111119389534
1990-01-31,19020.0,5.625,2341.0,1.0,1.0,8349.0,0.03448275849223137
1990-01-31,42067.0,4.375,24962.0,1.0,1.0,30912.0,-0.125
1990-01-31,70260.0,2.1875,205.0,1.0,1.0,2422.0,0.1666666716337204
1990-01-31,49956.0,1.34375,825.0,1.0,1.0,6066.0,0.07500000298023224
1990-01-31,63686.0,3.0,2162.0,1.0,1.0,8160.0,0.1428571492433548
1990-01-31,54594.0,31.5,11849.0,1.5,1.5,16009.0,-0.12166666984558105
1990-01-31,64338.0,1.0625,638.0,1.0,1.0,3556.0,-0.15000000596046448
1990-01-31,90852.0,7.0,4186.0,1.0,1.0,4795.0,0.19148936867713928
1990-01-31,10455.0,7.375,2542.0,1.0,1.0,3149.0,-0.26249998807907104
1990-01-31,11707.0,9.75,5941.0,3.0,3.0,4679.0,-0.23529411852359772
1990-01-31,70440.0,5.125,1966.0,1.0,1.0,2207.0,0.02500000037252903
1990-01-31,92524.0,5.5,13121.0,1.0,1.0,9158.0,-0.11999999731779099
1990-01-31,75797.0,10.375,3343.0,1.5,1.5,2139.0,0.03750000149011612
1990-01-31,83345.0,19.5,8707.0,1.0,1.0,9033.0,-0.0714285746216774
1990-01-31,11706.0,17.25,12584.0,2.0,2.0,9454.0,-0.12101911008358002
1990-01-31,75756.0,11.0625,10426.0,1.0,1.0,6638.0,-0.0220994483679533
1990-01-31,11825.0,5.1875,433.0,2.475,2.475,2315.0,-0.08791209012269974
1990-01-31,11281.0,2.625,3645.0,1.0,1.0,2940.0,-0.19230769574642181
1990-01-31,11210.0,0.4375,998.0,0.063089,0.063089,6744.0,0.27272728085517883
1990-01-31,12888.0,13.0,28969.0,1.0,1.0,16556.0,-0.2571428716182709
1990-01-31,75757.0,4.1875,5662.0,1.0,1.0,3374.0,-0.21176470816135406
1990-01-31,16468.0,8.125,693.0,1.0,1.0,2523.0,-0.08888889104127884
1990-01-31,90289.0,9.125,2109.0,1.0,1.0,8415.0,-0.10975609719753265
1990-01-31,63642.0,0.3125,378.0,1.0,1.0,5071.0,-0.1666666716337204
1990-01-31,75796.0,8.25,3624.0,1.0,1.0,3695.0,-0.0833333358168602
1990-01-31,75758.0,2.875,14085.0,0.0525,0.0525,7100.0,0.4838709533214569
1990-01-31,36311.0,1.375,5916.0,1.0,1.0,4900.0,0.375
1990-01-31,22382.0,3.4375,342.0,1.0,1.0,1140.0,0.0784313753247261
1990-01-31,11282.0,2.5,15723.0,1.0,1.0,14947.0,-0.2857142984867096
1990-01-31,11705.0,15.5,70.0,4.394531,4.394531,489.0,-0.03125
1990-01-31,75602.0,23.375,5439.0,1.0,1.0,7625.0,-0.02604166604578495
1990-01-31,85586.0,2.0,308.0,1.0,1.0,3333.0,-0.05882352963089943
1990-01-31,63386.0,7.875,2894.0,1.0,1.0,9604.0,0.032786883413791656
1990-01-31,10236.0,2.125,1007.0,1.0,1.0,3200.0,-0.0555555559694767
1990-01-31,58500.0,9.25,2041.0,1.0,1.0,2740.0,0.02777777798473835
1990-01-31,40062.0,4.125,27191.0,0.02,0.02,21964.0,-0.029411764815449715
1990-01-31,10515.0,17.375,13997.0,1.434768,0.5274,7946.0,-0.13124999403953552
1990-01-31,11824.0,0.59375,6419.0,1.0,1.0,3370.0,-0.29629629850387573
1990-01-31,89608.0,15.25,6744.0,1.0,1.0,10096.0,-0.07575757801532745
1990-01-31,42586.0,8.25,13709.0,1.0,1.0,4044.0,-0.05714285746216774
1990-01-31,38384.0,0.171875,985.0,1.0,1.0,3689.0,-0.1538461595773697
1990-01-31,10032.0,5.75,1241.0,6.0,6.0,4129.0,-0.14814814925193787
1990-01-31,42201.0,9.0,179.0,1.0,1.0,1344.0,-0.06493506580591202
1990-01-31,64339.0,0.8125,287.0,1.0,1.0,3243.0,0.0833333358168602
1990-01-31,11850.0,47.0,266339.0,4.0,4.0,1251632.0,-0.05999999865889549
